Name,Prerequisite,Benefit,Special,Source Book,PDF Page
Power Throw,"Str 13, Brutal Throw, Power Attack",Power Attack with thrown weapons,Fighter Feat,Complete Adventurer,
Powerful Charge,"Medium or larger, base attack bonus +1",Extra damage when you charge,Fighter Feat,Miniatures Handbook,
Practical Metamagic,"Dragonblood subtype, Spellcraft 8 ranks, any metamagic feat, ability to spontaneously cast 3rd-level spells",Reduce metamagic feat's spell level increase by one,Multiple,Races of the Dragon,
Practiced Binder,Bind Vestige,Gain a second power from a bound vestige,,Tome of Magic,
Practiced Spellcaster,Spellcraft 4 ranks,Increase caster level by +4,Multiple,Complete Arcane,
Practiced Spellcaster,Spellcraft 4 ranks,Your caster level is +4 but not above your HD,Multiple,Complete Divine,
Precise Shot,Point Blank Shot,No -4 penalty for shooting into melee,Fighter Feat,Player's Handbook,
Primary Contact,Favored,"Gain +1 bonus on one skill, and double the frequency of favors with one contact",,Cityscape,
Prone Attack,"Dex 15, Lightning Reflexes, base attack bonus +2",Attack while prone at no penalty and stand up,Fighter Feat,Complete Warrior,
Protected Destiny,"Human or half-human, Heroic Destiny, character level 3rd",Reroll saving throw once per day,,Races of Destiny,
Proteus,"Caster level 10th, Spell Focus (illusion)",Exchange a prepared spell for an illusion (glamer) spell,,Exemplars of Evil,
Psionic Affinity,-,\+2 bonus on Psicraft and Use Psionic Device checks,,Expanded Psionics Handbook,
Psionic Hole,Con 15,Drain away psionic foes' focus and power points,,Expanded Psionics Handbook,
Psionic Mastery,Able to manifest powers or use psi-like abilities,Take 10 on manifester level checks,,Complete Psionic,
Psithief,"Manifester level 1st, steal spell",Steal power points instead of spells; gain new class skills,,Complete Scoundrel,
Pure Soul,"Non-evil alignment, no taint",Gain immunity to taint,,Heroes of Horror,
Purify Spell-Like Ability,Any good alignment,"Adds good descriptor to spell-like ability; neutral creatures take half damage, good creatures take no damage",,Book of Exalted Deeds,
Pushback,"Str 17, Improved Bull Rush, Power Attack",Push enemy back after melee attack,Fighter Feat,Miniatures Handbook,
Quick Draw,Base attack bonus +1,Draw weapon as free weapon,Fighter Feat,Player's Handbook,
Quick Reconnoiter,"Listen 5 ranks, Spot 5 ranks","Spot and Listen as free actions, +2 on initiative checks",,Complete Adventurer,
Quick Reconnoiter,"Listen 5 ranks, Spot 5 ranks",Make Spot and Listen checks as free actions; +2 bonus on initiative checks,,Dungeonscape,
Quicken Spell-Like Ability,-,,Stackable,Book of Vile Darkness,
Quicken Turning,Ability to turn or rebuke undead,Can turn undead as a free action,,Complete Divine,
Quicken Utterance,"Truespeak 12 ranks, ability to speak utterances",You can deliver an utterance as a swift action,,Tome of Magic,
Rampaging Bull Rush,"Improved Bull Rush, size Large or larger, rage class feature",Knock foe prone as part of raging bull rush,,Races of Stone,
Ranged Disarm,"Dex 15, Point Blank Shot, Precise Shot, base attack bonus +5",Use ranged weapon to disarm foe within 30 feet,"Fighter Feat, Multiple",Complete Warrior,
Ranged Pin,"Dex 15, Point Blank Shot, Precise Shot, base attack bonus +5",Use ranged weapon to grapple foe within 30 feet.,Fighter Feat,Complete Warrior,
Ranged Recall,"Spellcraft 4 ranks, Point Blank Shot, Weapon Focus (ranged spell)",Reroll missed spell or spell-like ranged attack at -5 penalty,,Complete Mage,
Ranged Spell Specialization,"Weapon Focus (ranged spell), caster level 4th",\+2 bonus on damage rolls with ranged spells,Multiple,Complete Arcane,
Ranged Sunder,"Str 13, Point Blank Shot, Precise Shot, Ranged Pin, base attack bonus +5",Use ranged weapon to sunder foe's weapon at reduced damage penalty,Fighter Feat,Complete Warrior,
Ranged Weapon Mastery,"Proficiency with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, base attack bonus +8","Gain Weapon Focus, Weapon Specialization benefits with multiple weapons","Fighter Feat, Multiple",Player's Handbook II,
Rapid Assault,Base attack bonus +1,\+1d6 melee damage in first round of combat,,Tome of Battle,
Rapid Blitz,"Dex 13, Bounding Assault, Dodge, Mobility, Spring Attack, base attack bonus +18",Make third attack as part of Spring Attack,,Player's Handbook II,
Rapid Metabolism,Con 13,Heal hit points more quickly,,Expanded Psionics Handbook,
Rapid Metamagic,"Spellcraft 12 ranks, ability to spontaneously cast spells",Apply metamagic feats without increasing casting time,,Complete Mage,
Rapid Pact Making,"Expel Vestige, Intimidate 8 ranks",1/day bind vestige as a full-round action,,Tome of Magic,
Rapid Recovery,Favored Vestige,Reuse abilities of favored vestige faster,Multiple,Tome of Magic,
Rapid Reload,Weapon Proficiency with crossbow,Reload crossbow more quickly,Fighter Feat,Player's Handbook,
Rapid Shot,"Dex 13, Point Blank Shot",One extra ranged attack each round,Fighter Feat,Player's Handbook,
Rapid Stunning,"Combat Reflexes, Stunning Fist, base attack bonus +6",Use one additional stunning attack per round,"Fighter Feat, Stackable",Complete Warrior,
Razing Strike,"Ability to cast 3rd-level arcane or divine spells, sneak attack",Spend a spell use,,Complete Adventurer,
Ready Shot,Point Blank Shot,Readied ranged attack deals +3d6 damage,,Heroes of Battle,
Reckless Charge,Base attack bonus +1,"Charges get +4 on attack rolls, but -4 penalty to AC",Fighter Feat,Miniatures Handbook,
Reckless Offense,Base attack bonus +1,Take -4 AC to gain +2 melee attack bonus,,Expanded Psionics Handbook,
Reckless Rage,"Con 13, rage ability","Take additional -2 penalty to AC, gain additional +2 to Str and Con while raging",,Races of Stone,
Reckless Wand Wielder,"Craft Wand, Use Magic Device 1 rank",Increase wand's caster level by expending an additional charge,,Complete Arcane,
Reinforced Wings,"Str 13, wings and a glide or fly speed",Fly with medium armor or a medium load,,Races of the Dragon,
Resounding Blow,"Str 13, Power Attack, Intimidate 7 ranks",Potential cowering effect on critical hit,Fighter Feat,Book of Exalted Deeds,
Resourceful Buyer,-,Communities are considered larger for you when buying equipment,,Races of Destiny,
Ride-By Attack,Mounted Combat,Move before and after a mounted charge,Fighter Feat,Player's Handbook,
Robilar's Gambit,"Combat Reflexes, base attack bonus +12","Grant foes bonus on attacks and damage, but their attacks provoke attacks of opportunity",Fighter Feat,Player's Handbook II,
Rock Hurling,"Str 19, size Large or larger",Hurl rocks like a giant can,,Races of Stone,
Roundabout Kick,"Str 15, Improved Unarmed Strike, Power Attack",Additional unarmed attack against opponent on which you have just scored a critical hit,,Complete Warrior,
Run,-,"Run 5 times normal speed, +4 bonus on jump checks made after running start",,Player's Handbook,
Savvy Rogue,Rogue level 10th,Your rogue special abilities improve,,Complete Scoundrel,
Second Wind,-,Heal hit points equal to con modifier 1/day,,Miniatures Handbook,
Self-Sufficient,-,\+2 bonus on Heal and Survival checks,,Player's Handbook,
Sense Weakness,"Int 13, Combat Expertise, Weapon Focus",Your attacks more easily overcome damage reduction or hardness,,Draconomicon,
Shadow Blade,One Shadow Hand maneuver,Use Dex modifier instead of Str modifier on damage rolls with Shadow Sun weapons,,Tome of Battle,
Shadow Cast,"Concentration 5 ranks, shadowcaster level 1st",Avoid many attacks of opportunity,,Tome of Magic,
Shadow Familiar,Shadowcaster level 3rd,Gain a familiar with the dark creature template,,Tome of Magic,
Shadow Reflection,"Shadowcaster level 3rd, ability to cast dusk and dawn or ephemeral image",Attacks of opportunity against you have 50% miss chance,,Tome of Magic,
Shadow Trickster,"Caster level 1st, one Shadow Hand stance",\+1 bonus on save DCs of illusions while in a Shadow Hand stance,,Tome of Battle,
Shadow Vision,"Wis 15, ability to cast bend perspective or truth revealed",Sense creatures within 20 feet that are in shadowy illumination or darkness,Shadowcaster Feat,Tome of Magic,
Shared Fury,"Animal companion class feature, rage class feature, Handle Animal 4 ranks",Your animal companion rages with you,,Races of the Wild,
Sharp-Shooting,"Point Blank Shot, Precise Shot, base attack bonus +3",Halve opponent's cover bonus,Fighter Feat,Complete Warrior,
Shield Charge,"Improved Shield Bash, base attack bonus +3",Free trip attack with shield during charge,Fighter Feat,Complete Warrior,
Shield Charge,"Strength 13+, Power Attack, Improved Shield Bash",,,Defenders of the Faith,
Shield Proficiency,-,No armor check penalty on attack rolls,,Player's Handbook,
Shield Slam,"Improved Shield Bash, Shield Charge, base attack bonus +6",Use shield to daze opponent,Fighter Feat,Complete Warrior,
Shield Sling,"Proficiency with shields, Improved Shield Bash, Shield Specialization, base attack bonus +9",Use shield as ranged weapon,Fighter Feat,Player's Handbook II,
Shield Specialization,Proficiency with shields,Increase shield bonus by +1,"Fighter Feat, Multiple",Player's Handbook II,
Shield Wall,Shield Proficiency,Shield bonus increases by +2 when adjacent to shield wielder,Fighter Feat,Heroes of Battle,
Shield Ward,"Proficiency with shields, Shield Specialization","Gain shield bonus to touch AC and against bull rush, disarm, grapple, overrun, and trip",Fighter Feat,Player's Handbook II,
Shielded Casting,"Concentration 5 ranks, Combat Casting, Shield Proficiency",No attacks of opportunity when you cast spells with a shield ready,,Races of Stone,
Shielded Manifesting,"Concentration 5 ranks, Combat Manifesting, Shield Proficiency",No attacks of opportunity when you manifest powers with a shield ready,,Races of Stone,
Shieldmate,Base attack bonus +1,Your shield grants shield bonus to adjacent allies,Fighter Feat,Miniatures Handbook,
Short Haft,"Proficiency with slected weapon, Weapon Focus with selected weapon, base attack bonus +3","Lose reach benefits, attack adjacent foes",Fighter Feat,Player's Handbook II,
Shot on the Run,"Dex 13, Dodge, Mobility, Point Blank Shot, base attack bonus +4",Move before and after ranged attack,Fighter Feat,Player's Handbook,
Sidestep Charge,"Dex 13, Dodge",\+4 bonus to AC against a charging foe,,Expanded Psionics Handbook,
Sidetep,"Dex 15, Tumble 8 ranks, Dodge, Mobility",Gain 5-foot step after making attack of opportunity,,Miniatures Handbook,
Silencing Strike,"Sneak attack ability, whisper gnome",Silence target of your sneak attack,,Races of Stone,
Simple Weapon Proficiency,-,No -4 penalty on attack rolls with simple weapons,,Player's Handbook,
Skill Focus,-,\+3 bonus on checks with selected skill,Multiple,Player's Handbook,
Skilled Pact Making,"Base Will save +4, soul binding",\+4 bonus on binding checks,,Tome of Magic,
Slashing Flurry,"Proficiency with selected weapon, Weapon Focus with selected weapon, Melee Weapon Mastery (slashing), Weapon Specialization with selected weapon, base attack bonus +14",Gain extra attack with slashing weapon,,Player's Handbook II,
Slippery Skin,"Escape Artist 9 ranks, Combat Reflexes",Substitute Escape Artist check result for touch AC,,Exemplars of Evil,
Smatterings,Int 13,You can communicate in languages you don't know,,Races of Destiny,
Snap Kick,"Improved Unarmed Strike, base attack bonus +6","Make an extra attack, all attacks at -2",,Tome of Battle,
Snatch Arrows,"Dex 15, Deflect Arrows, Improved Unarmed Strike",Catch a deflected ranged attack,Fighter Feat,Player's Handbook,
Sociable Personality,"Half-elf, Cha 13",You may reroll Diplomacy and Gather Information checks,,Races of Destiny,
Somatic Weaponry,"Concentration 5 ranks, Spellcraft 5 ranks",Cast spells with somatic components while hands are full,,Complete Mage,
Song of the White Raven,"Bardic music (inspire courage), one White Raven maneuver",Use inspire courage as swift action while in a White Raven stance,,Tome of Battle,
Soul of The North,-,"Use chill touch, ray of frost, resistance as spell-like abilities 1/day",,Complete Arcane,
Special Dispensation,Favored,You can carry and wear items banned by the local authorities,Multiple,Cityscape,
Spectral Skirmisher,Base attack bonus +6,Gain bonuses while invisible,Fighter Feat,Player's Handbook II,
Spell Focus,-,\+1 bonus on save DCs against specific school of magic,Multiple,Player's Handbook,
"Spell Focus (Chaos, Evil, Good, Law)",Relevant alignment,\+1 bonus on save DCs for spells with alignment descriptor,Multiple,Complete Divine,
Spell Focus (Good),Any good alignment,\+2 bonus to save DCs of spells with good descriptor,,Book of Exalted Deeds,
Spell Hand,-,"Use mage hand, open/close, Tenser's floating disk as spell-like abilities 1/day",,Complete Arcane,
Spell Mastery,Wizard level 1st,Can prepare some spells without spellbook,Multiple,Player's Handbook,
Spell Penetration,-,\+2 bonus on caster level checks to defeat spell resistance,,Player's Handbook,
Spell Specialization,"Weapon Focus, Spellcaster level 4th+",,Multiple,Tome and Blood,
Spell-Linked Familiar,"Arcane caster level 9th, familiar",Familiar gains limited spellcasting ability,,Player's Handbook II,
Spirit Sense,"Wis 12, near-death experience",See and speak with the recently dead,,Heroes of Horror,
Spirited Charge,"Mounted Combat, Ride-By Attack",Double damage with mounted charge,Fighter Feat,Player's Handbook,
Spontaneous Domains,Ability to cast 3rd-level spells; access to two or more domains,Leave your domain spell slots open to be filled at need,,Complete Champion,
Spontaneous Healer,"Knowledge (religion) 4 ranks, nonevil",Swap out your spells for cure spells on your list,,Complete Divine,
Spontaneous Summoner,"Knowledge (nature) 4 ranks, partly neutral alignment",Swap out your spells for summon nature's ally,,Complete Divine,
Spontaneous Wounder,"Knowledge (religion) 4 ranks, nongood",Swap out your spells for inflict spells on your list,,Complete Divine,
Spring Attack,"Mobility, base attack bonus +4",Move before and after melee attack,Fighter Feat,Player's Handbook,
Staggering Strike,"Base attack bonus +6, sneak attack",Limit target to a single action for 1 round,,Complete Adventurer,
Stalwart Defense,"Combat Reflexes, Hindering Opportunist, base attack bonus +9",Foes provoke aid another action from you when they attack allies,,Player's Handbook II,
Stalwart Planar Ally,"Cha 13, Spellcraft 5 ranks, Planar Touchstone",Improve resilience and duration of summoned creature,,Planar Handbook,
Stand Still,Str 13,Attack of opportunity stops foe's movement,,Expanded Psionics Handbook,
Steadfast Determination,"Endurance, Iron Will",Use Constitution to modify Will saves,,Player's Handbook II,
Steady Concentration,Concentration 8 ranks,Always take 10 on Concentration checks,,Races of Stone,
Stealthy,-,\+2 bonus on Hide and Move Silently checks,,Player's Handbook,
Stone Power,"Str 13, one Stone Dragon maneuver",Trade attack bonus for temporary hit points,,Tome of Battle,
Stone Rage,"Earth Sense, rage ability",Gain +1 to natural armor while you rage,,Races of Stone,
Stoneback,"Shield Proficiency, Tunnel Fighting",Prevent flanks when a wall shields one side,Fighter Feat,Races of Stone,
Strength of Conviction,Smite evil or good,Swap smite evil or good for smite,,Exemplars of Evil,
Strong Stomach,"Con 13, Endurance",Reduce nauseated and sickened conditions by one step,,Cityscape,
Stunning Fist,"Dex 13, Wis 13, Improved Unarmed Strike, base attack bonus +8",Stun opponent with unarmed strike,"Fighter Feat, Monk Feat",Player's Handbook,
Subduing Strike,-,No penalty when dealing nonlethal damage; rogue's sneak attack deals nonlethal damage,Fighter Feat,Book of Exalted Deeds,
Subsonics,"Perform 10 ranks, Bardic music",Produce bardic music effects very softly,,Complete Adventurer,
Subtle Sigil,Illumian,You can make your sigils disappear,,Races of Destiny,
Sudden Ability Focus,Special attack,\+2 to DC of any supernatural attack 1/day,Multiple,Tome of Magic,
Sudden Recovery,One Martial maneuver,Recover an expended maneuver as a swift action 1/day,,Tome of Battle,
Superior Unarmed Strike,"Improved Unarmed Strike, base attack bonus +3",Deal greater unarmed damage,,Tome of Battle,
Supernatural Crusader,Knowledge (arcana) 2 ranks,\+1 insight bonus on attack rolls and damage rolls against a creature with supernatural special attack,,Tome of Magic,
Supernatural Opportunist,Supernatural Crusader,Make an attack of opportunity against creature activating a superntural ability,,Tome of Magic,
Sure Hand,Any two manipulation skill tricks,Learn two manipulation skill tricks and increase skill trick limit by one,,Complete Scoundrel,
Swarmfighting,"Small size, Dex 13, base attack bonus +1","Occupy same square as other swarming ally, gain +1 morale bonus per ally (up to Dex bonus)",,Complete Warrior,
Sweet Talker,Any two interaction skill tricks,"Learn two interaction skill tricks, increase skill trick limit by one",,Complete Scoundrel,
Swift Ambusher,"Skirmis +1d6/+1 AC, sneak attack +1d6",Rogue and scout levels stack for skirmish bonuses,Scout Feat,Complete Scoundrel,
Swift Call,Special mount class feature,Call special mount as a swift action,,Complete Champion,
Swift Hunter,"Favored enemy, skirmish +1d6/+1 AC","Ranger and scout levels stack for skirmish bonuses, favored enemies",Scout Feat,Complete Scoundrel,
Swift Tumbler,Tumble 7 ranks,Tumble at (1/2 speed + 10) ft.,,Cityscape,
Tactile Trapsmith,-,"Add Dex modifier, rather than Int modifier, to Search and Disable Device checks",,Complete Adventurer,
Telling Blow,Skirmish attack or sneak attack,Gain skirmish or sneak attack damage on critical hits,,Player's Handbook II,
Throw Anything,"Dex 15, proficiency with weapon, base attack bonus +2",Throw melee weapon with no penalty,,Complete Warrior,
Tiger Blooded,"Ability to rage, wild shape, or shift; one Tiger Claw maneuver",Knock smaller foes back while raging or wild shaped,,Tome of Battle,
Titan Fighting,"Dodge, racial dodge bonus against giants",Apply racial dodge bonus to AC when dodging larger opponents,Fighter Feat,Races of Stone,
Touch Spell Specialization,"Weapon Focus (touch spell), caster level 4th",\+2 bonus on damage rolls with touch spells,,Complete Arcane,
Toughening Transmutation,Spell Focus (transmutation) or transmuter level 1st,Grant temporary DR when casting a transmutation spell,Wizard Feat,Complete Mage,
Toughness,-,\+3 hit points,Stackable,Player's Handbook,
Tower Shield Proficiency,Shield Proficiency,No armor check penalty on attack rolls,,Player's Handbook,
Track,-,Use Survival skill to track,,Player's Handbook,
Trample,Mounted Combat,Target cannot avoid mounted overrun,Fighter Feat,Player's Handbook,
Trap Engineer,"Knowledge (architecture and engineering) 1 rank, Knowledge (dungeoneering) 4 ranks",Bonuses when dealing with traps after the first,,Dungeonscape,
Trap Sensitivity,"Elf or trapfinding class feature, trap sense +2",Sense mechanical traps as you sense secret doors,,Dungeonscape,
Trivial Knowledge,"Gnome, Int 13",Choose higher of two Knowledge or bardic knowledge checks,,Races of Stone,
Trophy Collector,Craft (taxidermy) 6 ranks,Gain bonuses from trophies you create and wear,,Player's Handbook II,
Truename Rebuttal,Ability to speak utterances,\+4 bonus on attempts to counter or dispel utterances,,Tome of Magic,
Truename Research,Truespeak 9 ranks,\+2 bonus on Knowledge checks to uncover a personal truename,,Tome of Magic,
Truename Training,-,Truespeak is always a class skill for you,,Tome of Magic,
Tumbling Feint,"Bluff 4 ranks, Tumble 4 ranks",\+5 on feint attempt after successful Tumble,Fighter Feat,Player's Handbook II,
Tunnel Fighting,Base attack bonus +1,No penalty on attacks or to AC when squeezing,Fighter Feat,Races of Stone,
Tunnel Fighting,Base attack bonus +1,No penalty on attacks or AC while squeezing,Fighter Feat,Dungeonscape,
Tunnel Riding,"Mounted Combat, Tunnel Fighting",You and your mount take no penalty on attacks or to AC when squeezing,,Races of Stone,
Twist the Knife,"Sneak attack +2d6, Improved Critical (melee weapon)","Forego critical damage to impose a penalty on foe's attacks, damage, saves, and checks",,Exemplars of Evil,
Two-Weapon Defense,Two-Weapon Fighting,Off-hand weapon grants +1 shield bonus to AC,Fighter Feat,Player's Handbook,
Two-Weapon Fighting,Dex 15,Reduce two-weapon fighting penalties by 2,Fighter Feat,Player's Handbook,
Two-Weapon Pounce,"Dex 15, Two-Weapon Fighting, base attack bonus +6",Attack with both weapons when charging,Fighter Feat,Player's Handbook II,
Two-Weapon Rend,"Dex 15, Two-Weapon Fighting, base attack bonus +11",Gain bonus damage if you hit with both weapons,Fighter Feat,Player's Handbook II,
Uncanny Forethought,"Int 17, Spell Mastery",Reserve slots to cast Spell Mastery spells,,Exemplars of Evil,
Underfoot Combat,"Small or smaller, Tumble 10 ranks","Occupy same square as a Large or larger creature, gaining +4 bonus to AC",,Races of the Wild,
Unnatural Will,"Cha 12, Iron Will",Add Cha modifier to WIll saves against fear effects,,Heroes of Horror,
Unnerving Calm,"Concentration 1 rank, one Diamond Mind strike","Use Concentration in duel of wills, gain +2 bonus on attacks after successful duel for 1 round",,Tome of Battle,
Unseen Arrow,Unseen weapon class feature,Use unseen weapon ability with ranged weapons,,Tome of Magic,
Unsettling Enchantment,Spell Focus (enchantment) or enchanter level 1st,Enchantment spells hinder foe's attacks and defense,Wizard Feat,Complete Mage,
Urban Stealth,Knowledge (local) 2 ranks,\+3 bonus on Hide and Move Silently checks in cities,,Races of Destiny,
Urban Tracking,-,Use Gather Information to track down person,,Races of Destiny,
Urban Tracking,-,Use Gather Information to track down missing or wanted persons,,Cityscape,
Utterance Focus,Ability to speak utterances,\+1 bonus on save DCs against specific utterance,Multiple,Tome of Magic,
Utterance of the Crafted Tool,"Truespeak 12 ranks, know at least three utterances",Learn one 1st-level utterance from the Lexicon of the Crafted Tool,Multiple,Tome of Magic,
Utterance of the Evolving Mind,"Truespeak 9 ranks, know at least two utterances",Learn one 2nd-level utterance,Multiple,Tome of Magic,
Utterance of the Perfected Map,"Truespeak 15 ranks, know at least four utterances",Learn one 1st-level utterance from the Lexicon of the Perfected Map,Multiple,Tome of Magic,
Vatic Gaze,Arcane caster level 9th,"Detect magic at will, use Sense Motive to determine foe's highest-level spell",,Player's Handbook II,
Vengeful Spirit,Watchful spirit class feature,"Gain initiative reroll, foe takes half damage dealt you",,Complete Mage,
Versatile Performer,Perform 5 ranks,Treat number of Perform skills as if they had ranks equal to your highest Perform rank,,Complete Adventurer,
Versatile Spellcaster,Ability to spontaneously cast spells,Use two lower-level slots to cast a higher-level spell,,Races of the Dragon,
Versatile Unarmed Strike,Improved Unarmed Strike,"Deal bludgeoning, piercing, or slashing damage with unarmed strikes",Fighter Feat,Player's Handbook II,
Veteran Knowledge,"Base attack bonus +2, Knowledge (history) 1 rank",\+5 bonus on Knowledge checks made to gain strategic advantage,Fighter Feat,Heroes of Battle,
Vexing Flanker,Combat Reflexes,\+4 on attacks when flanking,Fighter Feat,Player's Handbook II,
Violate Spell-Like Ability,-,,Stackable,Book of Vile Darkness,
Vital Recovery,Two martial maneuvers,Heal 3 + level points of damage when you recover a maneuver,,Tome of Battle,
Wanderer's Diplomacy,"Halfling or 4 ranks in Bluff, Diplomacy, and Sense Motive",Gain special social abilities,,Player's Handbook II,
Wandstrike,Use Magic Device 4 ranks,Make touch attack with wand to deal 1d6 damage and target creature with spell,,Complete Arcane,
Water Splitting Stone,"Dex 13, Wis 13, Improved Unarmed Strike, Stunning Fist, base attack bonus +9",\+4 bonus on damage when striking foe that has DR,"Fighter Feat, Monk Feat",Player's Handbook II,
Weakening Touch,"Wis 17, Improved Unarmed Strike, Stunning Fist, base attack bonus +2",Cause foe's Strength to drop by 6 for 1 minute,Fighter Feat,Complete Warrior,
Weapon Finesse,"Proficiency with weapon, base attack bonus +1",Use Dex modifier instead of Str modifier on attack rolls with light melee weapons,"Fighter Feat, Multiple",Player's Handbook,
Weapon Focus,"Proficiency with weapon, base attack bonus +1",\+1 bonus on attack rolls with selected weapon,"Fighter Feat, Multiple",Player's Handbook,
Weapon Specialization,"Proficiency with weapon, Weapon Focus with weapon, fighter level 4th",\+2 bonus on damage rolls with selected weapon,"Fighter Feat, Multiple",Player's Handbook,
Weapon Supremacy,"Proficiency with selected weapon, Greater Weapon Focus with selected weapon, Greater Weapon Specialization with selected weapon, Weapon Focus with selected weapon, Weapon Specialization with selected weapon, Melee Weapon Mastery with weapon type of selected weapon, fighter level 18th",Gain further abilities with chosen weapon,,Player's Handbook II,
Whirlwind Attack,"Dex 13, Combat Expertise, Dodge, Mobility, Spring Attack, base attack bonus +4",One melee attack against each opponent within reach,Fighter Feat,Player's Handbook,
White Raven Defense,One White Raven maneuver,\+1 bonus to AC while adjacent to ally; adjacent allies gain +1 AC while you wield a White Raven weapon,,Tome of Battle,
Widen Supernatural Ability,"Supernatural ability, 8 HD",Widen supernatural ability 1/day,Multiple,Tome of Magic,
Wild Talent,-,Gain psionic ability and 2 power points,,Expanded Psionics Handbook,
Wyrmgrafter,"Heal 10 ranks, Knowledge (arcana) 5 ranks",Create and apply draconic grafts,,Races of the Dragon,
Yondalla's Sense,Halfling,Add Wisdom bonus to initiative checks,,Races of the Wild,
Zen Archery,"Wis 13, base attack bonus +1",Use Wis instead of Dex for ranged attacks,,Complete Warrior,
